Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,5,7:00,9.09,0,0.0335,255.0,28.18,0,0.0163,260.6,88.37,1,0.0092,259.52,39.75,0,0.009,270.39
August,5,7:30,15.1,1,0.0438,290.64,42.84,1,0.0193,288.31,140.89,2,0.0127,261.81,69.58,1,0.0073,269.93
August,5,8:00,49.51,1,0.0227,254.42,95.44,1,0.0132,269.05,272.1,2,0.0085,288.79,129.24,1,0.009,268.29
August,5,8:30,87.1,3,0.0346,275.03,151.28,2,0.014,301.07,392.88,3,0.0071,301.07,185.54,1,0.0075,279.8
August,5,9:00,128.45,4,0.0277,301.85,221.17,2,0.0088,297.84,580.45,5,0.0079,309.75,277.25,2,0.0068,283.75
August,5,9:30,169.15,4,0.0244,299.96,286.09,4,0.0125,317.87,726.13,8,0.0109,318.98,344.19,3,0.0094,288.59
August,5,10:00,195.17,4,0.021,296.73,344.8,4,0.0105,311.35,843.59,8,0.0097,321.69,416.26,4,0.0104,296.43
August,5,10:30,217.34,4,0.0173,296.88,380.67,7,0.0195,325.43,943.97,15,0.0164,331.31,453.26,7,0.0159,298.28
August,5,11:00,229.39,5,0.02,299.32,426.84,5,0.0106,330.04,1014.88,11,0.0107,334.62,486.97,7,0.0138,315.18
August,5,11:30,247.38,5,0.0206,302.85,457.75,6,0.0129,330.76,1054.98,11,0.0101,338.13,530.19,7,0.013,308.37
August,5,12:00,248.38,5,0.019,304.0,482.77,5,0.0098,339.81,1055.14,14,0.013,337.92,543.54,5,0.0094,307.9
August,5,12:30,248.96,6,0.0228,294.85,498.86,8,0.0157,340.72,1058.71,23,0.0213,341.89,550.39,9,0.0158,314.46
August,5,13:00,249.1,4,0.0167,296.82,523.91,6,0.0121,340.42,1058.9,10,0.0099,341.59,552.32,7,0.0123,307.33
August,5,13:30,244.71,4,0.0155,309.95,529.48,9,0.0164,338.27,1053.81,18,0.0167,344.25,533.17,12,0.0227,315.52
August,5,14:00,259.0,4,0.0161,298.71,566.36,7,0.0126,332.1,1084.41,11,0.0101,344.71,576.55,9,0.0163,313.55
August,5,14:30,260.37,4,0.0169,300.58,574.84,7,0.0115,341.94,1089.49,13,0.012,348.8,558.74,7,0.0122,313.93
August,5,15:00,252.74,4,0.0171,302.32,574.38,6,0.0101,332.56,1074.62,10,0.0093,348.34,561.56,6,0.0107,313.86
August,5,15:30,252.49,5,0.02,303.91,556.6,6,0.0105,338.37,1062.68,9,0.0082,349.36,565.3,8,0.0147,310.39
August,5,16:00,269.35,6,0.0227,312.3,553.72,5,0.0095,345.58,1036.79,8,0.0079,349.59,583.78,5,0.009,315.24
August,5,16:30,246.56,4,0.0151,314.27,530.3,5,0.0095,343.58,1030.36,9,0.0086,347.2,562.48,6,0.0102,317.7
August,5,17:00,220.93,3,0.0158,303.69,499.39,6,0.0118,347.21,971.01,10,0.0107,350.97,506.39,4,0.0087,319.38
August,5,17:30,183.19,3,0.0154,299.13,489.91,6,0.0123,348.41,910.72,9,0.0101,346.48,487.59,6,0.012,314.6
August,5,18:00,171.06,3,0.018,306.89,459.94,6,0.0128,341.52,851.49,10,0.0118,345.82,453.56,4,0.0097,318.31
August,5,18:30,150.03,3,0.0206,302.87,417.57,4,0.0098,337.13,728.82,10,0.0133,344.14,394.65,3,0.0083,319.72
August,5,19:00,96.77,2,0.023,321.52,370.76,4,0.0117,336.05,664.33,8,0.0124,346.36,360.09,3,0.0095,310.62
August,5,19:30,69.03,1,0.0197,297.86,333.77,3,0.0097,337.57,582.19,7,0.0116,339.74,329.24,5,0.015,324.66
August,5,20:00,53.83,2,0.0432,313.02,277.99,5,0.0171,330.08,479.45,7,0.0144,345.02,278.64,4,0.0158,317.87
August,5,20:30,53.13,3,0.0556,305.81,245.75,4,0.0156,322.23,431.52,4,0.01,343.94,245.97,3,0.0106,305.74
August,5,21:00,36.87,2,0.0451,302.34,198.7,3,0.0153,323.56,363.56,3,0.0078,337.79,192.95,2,0.0124,311.53
August,5,21:30,26.24,1,0.0207,294.32,163.98,2,0.0116,323.86,293.29,2,0.0064,338.36,173.05,2,0.0118,319.09
August,5,22:00,21.06,0,0.0,271.18,129.69,0,0.0,329.23,242.07,0,0.0,334.04,133.3,0,0.0,328.35
August,5,22:30,13.16,0,0.0,273.38,102.46,0,0.0,308.68,187.34,0,0.0,331.98,111.79,0,0.0,312.31
August,5,23:00,10.97,0,0.0,311.41,75.64,0,0.0,307.84,140.47,0,0.0,325.54,82.61,0,0.0,326.06
August,5,23:30,8.55,0,0.0,329.92,52.13,0,0.0,293.25,104.65,0,0.0,321.62,65.81,0,0.0,319.4
August,6,0:00,4.15,0,0.0,300.64,34.83,0,0.0,330.66,75.76,0,0.0,362.04,41.73,0,0.0,335.51
August,6,0:30,2.36,0,0.0,320.81,24.94,0,0.0,316.24,53.58,0,0.0,346.62,30.49,0,0.0,362.35
August,6,1:00,1.87,0,0.0,415.45,10.7,0,0.0,352.3,34.95,0,0.0,356.33,23.53,0,0.0,331.79
August,6,1:30,1.91,0,0.0,408.91,5.38,0,0.0,304.85,26.3,0,0.0,367.02,17.33,0,0.0,346.99
August,6,2:00,1.58,0,0.0,415.19,2.98,0,0.0,341.83,17.86,0,0.0,311.16,9.79,0,0.0,374.83
August,6,2:30,1.9,0,0.0,292.38,3.75,0,0.0,364.02,14.74,0,0.0,334.58,9.62,0,0.0,383.02
August,6,3:00,1.77,0,0.0,368.21,2.7,0,0.0,520.76,12.51,0,0.0,330.69,2.24,0,0.0,428.91
August,6,3:30,1.35,0,0.0,324.26,2.74,0,0.0,306.23,10.78,0,0.0,391.28,0.42,0,0.0,398.08
August,6,4:00,1.33,0,0.0,288.64,2.58,0,0.0,369.29,8.64,0,0.0,364.25,0.4,0,0.0,377.06
August,6,4:30,1.54,0,0.0,215.95,2.45,0,0.0,308.75,11.37,0,0.0,390.87,0.57,0,0.0,386.38
August,6,5:00,1.22,0,0.0,322.66,1.97,0,0.0,310.3,12.43,0,0.0,306.66,0.52,0,0.0,376.19
August,6,5:30,1.68,0,0.0,318.37,1.97,0,0.0,455.06,18.6,0,0.0,298.72,1.77,0,0.0,268.2
August,6,6:00,1.82,0,0.0,305.74,5.18,0,0.0,354.5,29.61,0,0.0,281.83,14.06,0,0.0,239.6
August,6,6:30,3.62,0,0.0,286.13,6.24,0,0.0,316.3,49.98,0,0.0,270.8,24.49,0,0.0,283.39
August,6,7:00,6.75,0,0.0161,283.84,26.54,1,0.0267,267.16,92.62,2,0.0213,294.07,42.7,1,0.0122,250.11
August,6,7:30,13.92,0,0.0154,324.27,48.42,4,0.0812,318.58,148.34,5,0.0331,291.61,76.39,1,0.0171,278.17
August,6,8:00,44.49,0,0.0083,279.79,92.49,2,0.0177,311.25,274.77,7,0.0238,307.56,133.94,2,0.0131,296.96
August,6,8:30,77.53,1,0.0108,336.26,138.98,4,0.0303,333.99,397.93,11,0.0287,325.16,193.0,5,0.0276,302.22
August,6,9:00,114.99,1,0.0081,319.26,207.38,3,0.0167,331.44,561.36,12,0.0211,336.92,289.98,5,0.0166,291.11
August,6,9:30,140.28,1,0.006,337.38,275.12,6,0.0221,338.98,712.48,13,0.0176,342.03,339.59,8,0.0223,310.43
August,6,10:00,169.3,1,0.005,320.95,319.59,8,0.0236,344.24,810.6,10,0.0128,341.66,400.84,11,0.0271,313.79
August,6,10:30,189.53,1,0.0052,327.37,350.18,16,0.0469,362.89,924.6,23,0.0244,356.49,425.67,19,0.0437,330.01
August,6,11:00,203.68,1,0.0043,333.6,397.3,11,0.0269,364.85,962.91,17,0.0179,360.41,479.66,9,0.0181,326.73
August,6,11:30,209.36,1,0.0048,332.88,423.03,12,0.0294,365.55,986.81,22,0.0221,363.38,492.47,9,0.0182,332.84
August,6,12:00,206.52,1,0.0057,343.76,455.18,10,0.0227,367.24,1009.88,14,0.0139,364.52,505.26,8,0.0165,333.93
August,6,12:30,205.19,1,0.0049,333.48,471.01,14,0.0302,373.59,1023.63,30,0.0297,371.89,512.77,10,0.0191,324.35
August,6,13:00,207.79,1,0.0053,332.74,475.38,13,0.0268,361.11,1014.9,16,0.0156,368.75,516.65,11,0.0217,335.77
August,6,13:30,206.65,1,0.0047,336.26,488.15,15,0.0306,366.88,1013.34,19,0.0186,366.73,525.31,9,0.0168,327.29
August,6,14:00,208.63,1,0.0037,334.2,494.87,9,0.0181,367.5,1000.31,15,0.0147,369.14,548.35,7,0.0126,326.38
August,6,14:30,207.05,1,0.0038,339.72,504.42,11,0.0218,379.48,1021.78,20,0.0196,373.0,538.5,9,0.0163,336.34
August,6,15:00,214.58,1,0.0054,333.82,490.6,8,0.0165,367.93,988.21,13,0.0127,375.86,535.27,8,0.0142,342.36
August,6,15:30,210.46,1,0.005,339.61,504.04,9,0.0179,369.64,997.39,22,0.0223,381.14,533.89,9,0.016,340.15
August,6,16:00,202.24,1,0.0045,345.42,495.25,8,0.0167,372.79,977.27,16,0.0162,378.82,520.99,8,0.0155,334.81
August,6,16:30,194.25,1,0.0041,339.41,481.68,9,0.0178,375.56,943.72,14,0.0153,376.3,504.29,7,0.0143,342.11
August,6,17:00,173.51,1,0.0075,344.5,455.1,14,0.0301,372.72,894.37,36,0.0402,374.84,507.11,20,0.0394,325.9
August,6,17:30,157.11,1,0.0076,340.16,450.4,15,0.0344,372.59,838.77,33,0.0395,371.15,453.03,15,0.0337,343.54
August,6,18:00,141.61,1,0.0047,324.84,411.1,11,0.0261,370.78,765.46,20,0.0256,382.77,415.45,8,0.0198,339.32
August,6,18:30,121.48,1,0.0046,354.14,352.59,6,0.0176,368.76,680.81,13,0.0188,383.39,370.07,6,0.0156,337.39
August,6,19:00,75.47,0,0.004,350.58,325.91,7,0.021,369.74,613.79,12,0.02,375.56,343.37,7,0.021,326.68
August,6,19:30,58.32,0,0.006,334.11,292.62,6,0.0194,366.73,539.91,15,0.0277,367.33,308.38,6,0.0182,345.27
August,6,20:00,46.06,0,0.0051,321.2,254.58,6,0.0245,367.63,459.06,9,0.0204,372.75,271.55,7,0.0257,334.46
August,6,20:30,39.24,0,0.0094,320.43,215.78,6,0.0291,364.12,385.96,6,0.0163,370.05,227.99,3,0.0151,329.15
August,6,21:00,30.73,0,0.0107,328.9,177.97,5,0.0264,355.82,324.69,4,0.0113,371.13,189.82,8,0.0437,332.82
August,6,21:30,24.15,0,0.0052,325.98,150.09,3,0.0204,368.98,272.49,3,0.0116,365.06,164.48,3,0.0201,332.01
August,6,22:00,17.02,0,0.0,337.8,115.75,0,0.0,334.41,213.34,0,0.0,368.98,123.39,0,0.0,323.67
August,6,22:30,11.94,0,0.0,292.72,93.08,0,0.0,348.82,169.14,0,0.0,343.62,108.07,0,0.0,333.07
August,6,23:00,9.37,0,0.0,319.68,69.16,0,0.0,330.21,130.57,0,0.0,353.64,79.65,0,0.0,323.97
August,6,23:30,7.86,0,0.0,297.34,52.81,0,0.0,338.21,103.13,0,0.0,346.1,63.44,0,0.0,312.26
August,7,0:00,4.57,0,0.0,302.28,34.63,0,0.0,325.9,68.39,0,0.0,361.89,41.63,0,0.0,352.29
August,7,0:30,2.86,0,0.0,336.81,22.75,0,0.0,316.05,53.62,0,0.0,347.17,29.91,0,0.0,360.55
August,7,1:00,2.56,0,0.0,313.54,10.93,0,0.0,320.51,39.41,0,0.0,338.9,20.28,0,0.0,370.47
August,7,1:30,1.58,0,0.0,414.35,7.37,0,0.0,340.95,26.78,0,0.0,377.7,18.06,0,0.0,326.06
August,7,2:00,1.83,0,0.0,349.81,4.07,0,0.0,379.71,18.72,0,0.0,266.8,13.38,0,0.0,332.43
August,7,2:30,1.0,0,0.0,280.01,3.78,0,0.0,429.9,15.19,0,0.0,234.15,9.42,0,0.0,286.1
August,7,3:00,1.23,0,0.0,443.98,2.35,0,0.0,333.98,9.98,0,0.0,322.03,1.64,0,0.0,382.63
August,7,3:30,1.99,0,0.0,311.8,3.97,0,0.0,481.69,11.1,0,0.0,360.77,0.11,0,0.0,325.98
August,7,4:00,1.37,0,0.0,329.47,2.17,0,0.0,386.18,11.17,0,0.0,326.15,0.35,0,0.0,442.83
August,7,4:30,0.99,0,0.0,358.71,1.63,0,0.0,375.61,10.64,0,0.0,324.3,0.45,0,0.0,285.33
August,7,5:00,1.23,0,0.0,246.6,2.72,0,0.0,311.53,13.65,0,0.0,300.37,0.33,0,0.0,200.83
August,7,5:30,1.9,0,0.0,338.69,3.37,0,0.0,266.87,17.16,0,0.0,305.29,0.81,0,0.0,372.04
August,7,6:00,2.79,0,0.0,274.35,4.77,0,0.0,247.39,29.1,0,0.0,317.29,12.69,0,0.0,243.99
August,7,6:30,4.45,0,0.0,335.13,7.25,0,0.0,405.87,53.57,0,0.0,302.31,24.23,0,0.0,269.43
August,7,7:00,9.75,1,0.0993,354.05,25.3,0,0.014,287.61,93.7,1,0.0069,283.02,38.3,0,0.0087,276.27
August,7,7:30,14.2,1,0.0449,318.61,42.22,1,0.0249,299.66,146.78,1,0.0101,283.7,67.86,0,0.0063,266.92
August,7,8:00,45.51,1,0.0186,305.05,84.15,1,0.0086,313.0,269.07,1,0.0053,318.03,127.97,1,0.0057,279.4
August,7,8:30,79.96,2,0.025,336.99,133.55,1,0.0097,322.05,386.66,2,0.006,330.76,193.23,1,0.0075,300.48
August,7,9:00,114.43,1,0.0117,336.58,208.9,2,0.0074,324.13,536.89,3,0.0052,340.19,265.35,2,0.0068,306.91
August,7,9:30,141.46,2,0.0114,336.52,251.14,2,0.0082,335.31,682.86,6,0.0084,346.57,314.33,3,0.0096,313.96
August,7,10:00,168.88,2,0.0133,326.41,299.21,2,0.0064,338.14,801.34,6,0.0069,355.36,375.8,3,0.0072,322.97
August,7,10:30,198.45,2,0.0124,338.25,351.92,5,0.0135,353.5,881.57,8,0.009,364.86,410.45,4,0.0091,324.35
August,7,11:00,213.8,2,0.0107,338.69,367.41,3,0.0089,355.62,934.12,7,0.0076,366.21,454.52,3,0.0063,329.88
August,7,11:30,219.54,3,0.0134,339.71,403.3,5,0.0128,348.92,977.12,10,0.0104,369.34,459.95,2,0.0051,333.67
August,7,12:00,216.46,2,0.0099,335.7,439.65,4,0.0088,356.56,955.5,7,0.0074,376.67,474.47,3,0.006,328.3
August,7,12:30,226.13,3,0.0122,327.96,438.1,4,0.0097,363.19,974.92,13,0.013,373.57,474.76,4,0.0079,327.07
August,7,13:00,217.18,3,0.0116,336.53,445.48,4,0.0099,354.8,949.08,9,0.0092,379.74,480.31,4,0.0088,332.41
August,7,13:30,217.22,3,0.0127,348.26,456.08,6,0.0133,354.79,955.16,7,0.0077,373.87,479.77,4,0.0084,336.56
August,7,14:00,227.25,3,0.0118,352.99,488.53,4,0.0081,354.88,968.2,8,0.0083,372.4,517.45,4,0.0086,339.8
August,7,14:30,228.7,2,0.0095,350.16,496.61,5,0.0101,357.68,988.12,13,0.013,381.21,510.18,5,0.0092,343.24
August,7,15:00,227.34,3,0.0127,356.59,481.26,4,0.0074,361.19,957.06,5,0.0057,377.32,504.48,3,0.0058,341.23
August,7,15:30,220.15,4,0.0201,351.53,484.51,5,0.0094,363.64,966.76,6,0.0061,377.66,503.7,3,0.0067,337.8
August,7,16:00,222.87,4,0.0163,349.91,475.12,4,0.0075,358.83,940.03,5,0.0058,380.43,509.8,3,0.0057,334.26
August,7,16:30,217.02,3,0.0116,346.37,460.67,3,0.0075,360.28,909.02,5,0.0055,389.39,480.65,3,0.0056,341.95
August,7,17:00,194.68,2,0.0119,344.56,433.37,3,0.007,360.53,868.4,6,0.0066,378.94,451.54,2,0.0054,343.79
August,7,17:30,166.78,2,0.0117,349.99,417.47,3,0.007,363.04,809.49,6,0.0079,377.4,420.53,2,0.0055,335.56
August,7,18:00,146.07,1,0.0101,348.14,397.07,3,0.0086,356.72,734.73,8,0.0107,383.85,384.37,2,0.0052,347.9
August,7,18:30,131.71,1,0.0102,333.45,360.02,3,0.0093,361.86,659.64,8,0.0126,388.22,348.94,2,0.0056,332.86
August,7,19:00,82.6,1,0.011,362.18,319.78,3,0.0091,354.99,584.08,6,0.0095,380.22,326.73,3,0.0096,328.5
August,7,19:30,63.21,1,0.0137,335.76,296.25,3,0.0088,356.11,525.52,8,0.0146,392.21,292.07,3,0.0112,337.88
August,7,20:00,50.85,1,0.0142,339.61,239.05,2,0.0104,367.36,447.23,8,0.0177,385.9,257.04,3,0.0127,330.93
August,7,20:30,42.1,1,0.019,349.0,206.75,2,0.0073,347.73,395.73,4,0.0095,373.97,217.14,2,0.0095,326.18
August,7,21:00,31.62,1,0.0221,318.0,176.64,1,0.008,346.78,324.79,2,0.0048,379.59,174.36,2,0.0107,338.23
August,7,21:30,25.31,0,0.0169,346.06,135.82,1,0.0062,339.93,264.75,1,0.005,379.39,163.31,1,0.0055,318.37
August,7,22:00,19.67,0,0.0,327.66,110.83,0,0.0,338.96,212.76,0,0.0,352.37,120.71,0,0.0,343.75
August,7,22:30,14.21,0,0.0,316.79,83.25,0,0.0,325.59,162.79,0,0.0,347.52,98.45,0,0.0,324.02
August,7,23:00,10.55,0,0.0,370.8,64.77,0,0.0,338.52,123.68,0,0.0,352.46,73.26,0,0.0,330.07
August,7,23:30,9.55,0,0.0,341.35,46.77,0,0.0,331.21,100.77,0,0.0,358.72,58.98,0,0.0,333.42
August,8,0:00,5.82,0,0.0,369.45,33.13,0,0.0,332.47,70.41,0,0.0,374.11,41.6,0,0.0,347.78
August,8,0:30,4.4,0,0.0,355.31,24.89,0,0.0,306.29,47.71,0,0.0,336.11,29.25,0,0.0,313.65
August,8,1:00,3.15,0,0.0,328.64,10.9,0,0.0,448.44,36.73,0,0.0,344.35,21.03,0,0.0,391.56
August,8,1:30,3.14,0,0.0,352.02,6.69,0,0.0,270.78,25.29,0,0.0,317.93,16.2,0,0.0,326.74
August,8,2:00,2.02,0,0.0,239.94,5.05,0,0.0,404.19,16.39,0,0.0,344.35,11.23,0,0.0,352.02
August,8,2:30,1.38,0,0.0,394.29,3.65,0,0.0,459.5,17.98,0,0.0,348.21,8.88,0,0.0,319.52
August,8,3:00,1.78,0,0.0,238.08,3.97,0,0.0,322.32,10.94,0,0.0,384.37,2.78,0,0.0,436.4
August,8,3:30,1.74,0,0.0,228.54,2.82,0,0.0,448.7,12.75,0,0.0,431.34,0.88,0,0.0,282.79
August,8,4:00,1.5,0,0.0,360.31,2.71,0,0.0,334.86,11.55,0,0.0,302.66,0.83,0,0.0,398.55
August,8,4:30,1.46,0,0.0,361.47,3.7,0,0.0,211.43,12.06,0,0.0,365.29,0.71,0,0.0,459.89
August,8,5:00,1.6,0,0.0,269.68,3.25,0,0.0,298.74,15.68,0,0.0,322.34,0.65,0,0.0,418.7
August,8,5:30,1.92,0,0.0,240.82,4.1,0,0.0,312.6,17.06,0,0.0,351.34,1.05,0,0.0,286.73
August,8,6:00,2.62,0,0.0,291.12,5.57,0,0.0,322.23,32.1,0,0.0,292.18,10.83,0,0.0,268.18
August,8,6:30,4.14,0,0.0,318.09,6.83,0,0.0,377.18,50.85,0,0.0,279.01,24.87,0,0.0,270.14
August,8,7:00,10.23,1,0.1466,326.34,32.65,0,0.0128,264.1,86.41,1,0.009,282.89,43.77,0,0.0097,269.94
August,8,7:30,15.79,2,0.1094,363.0,46.95,1,0.0206,307.31,141.07,2,0.0117,282.27,71.76,1,0.0093,297.38
August,8,8:00,47.33,1,0.0123,285.49,100.99,0,0.0042,295.77,265.13,2,0.0066,298.82,135.33,1,0.0074,284.47
August,8,8:30,82.0,1,0.0107,302.32,131.06,1,0.0075,326.88,380.13,2,0.0065,323.28,187.98,2,0.0118,303.04
August,8,9:00,120.65,1,0.0111,315.08,201.62,1,0.0061,334.12,545.3,3,0.0061,328.76,261.41,2,0.0066,302.41
August,8,9:30,153.6,2,0.0112,325.17,246.48,1,0.006,344.97,683.82,7,0.0097,325.47,327.15,4,0.0117,319.38
August,8,10:00,167.33,2,0.0108,330.42,310.16,2,0.006,348.46,775.45,9,0.0121,345.68,390.48,3,0.0087,316.08
August,8,10:30,209.88,2,0.0116,332.92,346.9,4,0.0106,349.87,861.55,14,0.0168,350.33,420.44,5,0.012,330.7
August,8,11:00,223.09,2,0.0089,329.76,381.26,3,0.0081,353.1,912.31,9,0.0098,357.99,446.7,5,0.0106,332.96
August,8,11:30,227.01,2,0.0092,334.55,417.88,6,0.0132,370.04,960.16,9,0.0094,355.21,481.54,5,0.0101,334.28
August,8,12:00,239.02,3,0.0126,320.6,468.89,4,0.009,360.43,966.62,15,0.0158,358.89,483.35,5,0.0104,327.88
August,8,12:30,235.29,3,0.0122,333.65,464.49,4,0.0094,366.79,977.57,13,0.0134,362.84,498.69,4,0.0078,342.7
August,8,13:00,231.83,3,0.0133,345.9,477.6,3,0.0072,357.72,956.1,10,0.0104,369.89,489.65,5,0.0092,338.34
August,8,13:30,237.41,2,0.0096,338.38,483.59,4,0.0083,356.93,959.04,12,0.0121,370.37,506.02,5,0.0099,340.65
August,8,14:00,233.7,2,0.0099,331.36,511.46,5,0.009,369.19,984.65,10,0.0097,369.43,519.76,5,0.0104,338.27
August,8,14:30,250.56,3,0.011,339.77,520.94,5,0.0097,364.8,972.72,10,0.0101,367.26,520.14,8,0.0147,345.66
August,8,15:00,238.88,3,0.0133,326.73,523.6,3,0.0052,370.86,959.62,11,0.0113,370.29,515.36,7,0.0145,346.28
August,8,15:30,248.66,4,0.017,337.65,515.63,3,0.0057,360.34,954.78,25,0.0267,372.84,500.31,11,0.022,341.34
August,8,16:00,236.85,2,0.0093,343.96,503.23,3,0.0061,380.36,946.4,15,0.0154,371.72,534.42,7,0.0135,346.88
August,8,16:30,224.82,2,0.0093,346.11,481.66,3,0.0065,365.16,903.68,8,0.0091,374.19,505.47,5,0.009,339.25
August,8,17:00,196.83,2,0.0116,339.99,461.58,3,0.0069,368.95,848.42,7,0.0085,369.16,470.0,3,0.0068,353.82
August,8,17:30,171.27,2,0.0124,339.01,428.34,3,0.0059,374.73,771.2,7,0.0088,373.33,429.02,4,0.0096,339.73
August,8,18:00,153.95,2,0.0114,329.22,405.09,3,0.0076,374.85,682.6,6,0.0085,372.67,383.32,2,0.0063,336.08
August,8,18:30,125.71,1,0.0114,362.27,349.31,2,0.0067,362.88,616.53,4,0.0067,374.75,337.61,3,0.0076,332.94
August,8,19:00,87.05,1,0.0099,366.88,328.43,3,0.0096,364.69,546.94,5,0.0085,362.99,302.33,3,0.0091,337.56
August,8,19:30,62.56,1,0.0096,338.44,279.43,2,0.0069,344.8,477.58,4,0.0083,373.84,271.26,3,0.0125,339.84
August,8,20:00,48.33,1,0.0129,350.65,225.88,2,0.0108,355.56,392.19,5,0.0135,363.74,220.7,3,0.0144,334.6
August,8,20:30,39.46,1,0.0187,314.13,206.48,2,0.0106,365.76,334.42,2,0.0074,359.1,197.35,2,0.0091,321.31
August,8,21:00,27.4,1,0.0225,339.13,177.43,1,0.0073,351.19,282.31,2,0.0064,364.34,159.91,4,0.0248,343.68
August,8,21:30,19.99,0,0.0118,331.68,144.82,1,0.0087,335.35,231.56,1,0.0059,366.7,143.92,3,0.0175,347.01
August,8,22:00,18.58,0,0.0,327.4,102.78,0,0.0,350.63,181.56,0,0.0,360.51,111.98,0,0.0,333.62
August,8,22:30,12.93,0,0.0,391.2,88.14,0,0.0,320.93,144.06,0,0.0,357.69,89.44,0,0.0,325.59
August,8,23:00,9.63,0,0.0,335.05,61.62,0,0.0,337.67,109.86,0,0.0,342.21,68.53,0,0.0,319.25
August,8,23:30,7.42,0,0.0,255.78,51.52,0,0.0,332.67,86.01,0,0.0,317.86,53.59,0,0.0,316.59
August,9,0:00,5.64,0,0.0,419.34,34.72,0,0.0,316.62,64.38,0,0.0,352.61,40.64,0,0.0,332.67
August,9,0:30,4.69,0,0.0,395.5,22.67,0,0.0,354.15,48.9,0,0.0,353.97,26.34,0,0.0,348.81
August,9,1:00,3.4,0,0.0,431.59,8.1,0,0.0,439.38,35.8,0,0.0,342.88,22.19,0,0.0,350.69
August,9,1:30,1.44,0,0.0,317.66,4.24,0,0.0,321.65,30.79,0,0.0,353.75,14.52,0,0.0,333.33
August,9,2:00,1.39,0,0.0,324.67,4.86,0,0.0,364.27,18.7,0,0.0,340.22,10.12,0,0.0,347.24
August,9,2:30,1.5,0,0.0,312.95,3.19,0,0.0,394.7,13.68,0,0.0,374.31,5.93,0,0.0,423.0
August,9,3:00,1.05,0,0.0,335.83,3.11,0,0.0,351.17,10.21,0,0.0,375.5,2.15,0,0.0,457.51
August,9,3:30,0.71,0,0.0,404.68,3.25,0,0.0,228.83,11.16,0,0.0,331.63,0.29,0,0.0,258.92
August,9,4:00,0.97,0,0.0,288.71,1.88,0,0.0,350.44,9.46,0,0.0,413.59,0.2,0,0.0,336.76
August,9,4:30,0.96,0,0.0,219.41,2.17,0,0.0,336.14,10.23,0,0.0,319.47,0.36,0,0.0,361.9
August,9,5:00,0.94,0,0.0,492.59,2.66,0,0.0,275.15,10.32,0,0.0,472.23,0.31,0,0.0,313.93
August,9,5:30,0.71,0,0.0,185.88,2.38,0,0.0,281.04,12.87,0,0.0,336.01,0.5,0,0.0,541.78
August,9,6:00,1.54,0,0.0,288.14,2.77,0,0.0,472.25,17.87,0,0.0,299.17,8.35,0,0.0,272.73
August,9,6:30,1.97,0,0.0,308.35,6.59,0,0.0,415.74,33.09,0,0.0,293.08,14.49,0,0.0,311.21
August,9,7:00,4.83,0,0.0568,289.72,9.95,0,0.0068,312.53,58.58,1,0.0087,287.43,26.93,0,0.0118,274.89
August,9,7:30,9.19,0,0.0539,326.14,17.63,0,0.0042,328.09,94.62,1,0.0124,283.84,41.72,0,0.0112,315.91
August,9,8:00,26.33,0,0.0113,274.35,31.64,0,0.0067,315.14,170.29,1,0.0067,297.68,74.89,0,0.0065,312.9
August,9,8:30,44.95,0,0.0092,308.85,41.89,0,0.0106,339.1,244.79,2,0.0099,324.55,109.83,1,0.0072,301.35
August,9,9:00,64.29,1,0.0083,304.08,110.89,1,0.0059,311.33,343.83,3,0.0078,319.57,163.56,2,0.0096,312.44
August,9,9:30,77.11,1,0.0115,297.74,153.0,1,0.0064,333.32,414.91,7,0.0178,342.41,205.96,2,0.0102,302.84
August,9,10:00,95.12,1,0.0098,314.14,191.14,1,0.007,332.71,516.54,4,0.0075,339.75,243.4,3,0.0104,320.01
August,9,10:30,121.35,1,0.0099,318.63,221.29,3,0.0122,352.14,578.91,5,0.0093,354.58,283.33,6,0.0207,321.43
August,9,11:00,138.95,1,0.0102,322.64,255.15,2,0.0069,350.37,629.74,6,0.0098,357.14,320.57,4,0.0114,332.24
August,9,11:30,136.96,2,0.0142,312.91,290.68,3,0.0095,357.69,642.24,10,0.0152,364.71,333.99,3,0.01,333.52
August,9,12:00,151.78,3,0.0205,324.9,296.91,2,0.0067,351.28,651.97,8,0.0116,366.0,348.36,3,0.0073,342.0
August,9,12:30,164.89,4,0.0248,330.9,315.34,3,0.0092,353.45,660.51,9,0.0133,364.25,361.87,5,0.0146,333.88
August,9,13:00,158.14,2,0.01,330.0,334.01,4,0.0126,359.04,647.66,7,0.0104,368.25,357.16,5,0.0138,343.41
August,9,13:30,154.19,1,0.0081,336.31,347.74,5,0.0139,350.1,649.75,11,0.0167,366.61,362.86,5,0.0137,337.95
August,9,14:00,148.8,2,0.0115,343.27,356.82,6,0.0162,359.12,648.37,9,0.0144,368.59,357.65,4,0.0101,335.47
August,9,14:30,152.45,2,0.0148,337.2,351.09,4,0.0121,365.41,642.76,7,0.0103,363.26,368.58,7,0.0192,347.91
